fecha;resultadok;Lote;Talla
10/10/2022;50.18;2220PC-16701E;60-70
10/10/2022;50.18;2220PC-16701E;70-80
10/10/2022;50.18;2220PC-16701E;60-70
10/10/2022;50.18;2220PC-16702C;61-70
11/10/2022;50.18;2220PC-16703E;60-70
11/10/2022;50.18;2220PC-16703E;60-70
12/10/2022;62.99;2220PC-16704E;50-60
11/10/2022;50.18;2220PC-16704E;40-50
12/10/2022;64.06;2220PC-16705E;80-100
12/10/2022;56.59;2220PC-16705E;70-80
13/10/2022;53.38;2220PC-16705E;60-70
12/10/2022;50.18;2220PC-16705E;70-80
12/10/2022;50.18;2220PC-16705E;70-80
13/10/2022;50.18;2220PC-16706E;40-50
13/10/2022;52.32;2220PC-16706E;50-60
13/10/2022;50.18;2220PC-16706E;50-60
15/10/2022;81.14;2220PC-16707C;51-60
13/10/2022;53.38;2220PC-16707E;70-80
13/10/2022;50.18;2220PC-16707E;70-80
